Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,EntityFramework 6.1.2,,,,,"EntityFramework, 6.1.2  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,Microsoft.AspNet.WebPages 3.2.3,,,,,"Microsoft.AspNet.WebPages, 3.2.3  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  No supported version found"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,EntityFramework 6.1.2,,,,,"EntityFramework, 6.1.2  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.2"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5.1 Recommended target framework: net10.0"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,EStore.Domain\EStore.Domain.csproj,File,EStore.Domain\EStore.Domain.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in EStore.Domain.csproj, no manual redirects found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Microsoft.AspNet.WebPages 3.2.3,,,,,"Microsoft.AspNet.WebPages, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Moq 4.2.1502.0911,,,,,"Moq, 4.2.1502.0911  Recommendation:  Moq, 4.20.72"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Ninject 3.2.2.0,,,,,"Ninject, 3.2.2.0  Recommendation:  Ninject, 3.3.6"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Ninject.MVC3 3.2.1.0,,,,,"Ninject.MVC3, 3.2.1.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,Ninject.Web.Common 3.2.3.0,,,,,"Ninject.Web.Common, 3.2.3.0  Recommendation:  Ninject.Web.Common, 3.3.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,WebActivatorEx 2.0.6,,,,,"WebActivatorEx, 2.0.6  Recommendation:  No supported version found"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5.1 Recommended target framework: net10.0"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,EStore.UnitTests\EStore.UnitTests.csproj,File,EStore.UnitTests\EStore.UnitTests.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in EStore.UnitTests.csproj, no manual redirects found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,EntityFramework 6.1.2,,,,,"EntityFramework, 6.1.2  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Microsoft.AspNet.WebPages 3.2.3,,,,,"Microsoft.AspNet.WebPages, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Moq 4.2.1502.0911,,,,,"Moq, 4.2.1502.0911  Recommendation:  Moq, 4.20.72"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Ninject 3.2.2.0,,,,,"Ninject, 3.2.2.0  Recommendation:  Ninject, 3.3.6"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Ninject.MVC3 3.2.1.0,,,,,"Ninject.MVC3, 3.2.1.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,Ninject.Web.Common 3.2.3.0,,,,,"Ninject.Web.Common, 3.2.3.0  Recommendation:  Ninject.Web.Common, 3.3.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,WebActivatorEx 2.0.6,,,,,"WebActivatorEx, 2.0.6  Recommendation:  No supported version found"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,bootstrap 3.3.2,,,,,"bootstrap, 3.3.2  Recommendation:  bootstrap, 5.3.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,EntityFramework 6.1.2,,,,,"EntityFramework, 6.1.2  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.2"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,jQuery 2.1.3,,,,,"jQuery, 2.1.3  Recommendation:  jQuery, 3.7.1"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,jQuery.Validation 1.13.1,,,,,"jQuery.Validation, 1.13.1  Recommendation:  jQuery.Validation, 1.21.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\EStore.WebUI.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5.1 Recommended target framework: net10.0"
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\App_Start\RouteConfig.cs,,,,,,,,
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Infrastructure\Concrete\FormsAuthProvider.cs,16,16,T:System.Web.Security.FormsAuthentication,,,,,"FormsAuthentication.SetAuthCookie(username, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Infrastructure\Concrete\FormsAuthProvider.cs,16,16,"M:System.Web.Security.FormsAuthentication.SetAuthCookie(System.String,System.Boolean)",,,,,"FormsAuthentication.SetAuthCookie(username, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Infrastructure\Concrete\FormsAuthProvider.cs,13,12,T:System.Web.Security.FormsAuthentication,,,,,"bool result = FormsAuthentication.Authenticate(username, password);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,EStore.WebUI\EStore.WebUI.csproj,File,EStore.WebUI\Infrastructure\Concrete\FormsAuthProvider.cs,13,12,"M:System.Web.Security.FormsAuthentication.Authenticate(System.String,System.String)",,,,,"bool result = FormsAuthentication.Authenticate(username, password);"
